address,amount_nanosnrg,category,locked,lock_type,vesting,cliff_days,vest_days,notes
sYnU[TREASURY_ADDRESS],0,foundation_treasury,true,governance_locked,false,0,0,Protocol reserve — governance-controlled only
sYnU[ECOSYSTEM_ADDRESS],0,ecosystem_fund,false,none,false,0,0,Developer grants and ecosystem growth fund
sYnU[VALIDATOR_INCENTIVES_ADDRESS],0,validator_incentives,false,staking_only,false,0,0,Bootstrap validator reward pool — staking only
sYnU[TEAM_1_ADDRESS],0,team,true,none,true,365,1460,Team member 1 — 1yr cliff / 4yr vest
sYnU[TEAM_2_ADDRESS],0,team,true,none,true,365,1460,Team member 2 — 1yr cliff / 4yr vest
sYnU[ADVISOR_ADDRESS],0,team,true,none,true,180,730,Advisor — 6mo cliff / 2yr vest
sYnU[INVESTOR_SEED_ADDRESS],0,investor,true,none,true,180,730,Seed round — 6mo cliff / 2yr vest
sYnU[INVESTOR_PRIVATE_ADDRESS],0,investor,true,none,true,90,365,Private round — 3mo cliff / 1yr vest
sYnU[PRESALE_ADDRESS],0,presale,false,none,false,0,0,Public presale — no vesting
sYnU[LIQUIDITY_ADDRESS],0,liquidity_reserve,false,none,false,0,0,DEX/market liquidity
sYnU[GRANTS_ADDRESS],0,grants_pool,false,governance_locked,false,0,0,Protocol grants — governance approval required
